Node /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,15,25,62,68,28.4,11.45,83,10
Requests,230,358,420,420,345.9,58.45,420,230
Throughput,112959,175871,206335,206335,169843.2,28702.16,206220,112930
Node /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,7,13,37,43,14.92,7.38,60,1
Requests,425,679,794,794,649.8,115.64,794,425
Throughput,629247,1005055,1175551,1175551,961664,171154.19,1175120,629000
Node /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,16,25,62,69,28.58,11.48,86,11
Requests,229,354,420,420,344.7,59.09,420,229
Throughput,62303,96319,114303,114303,93764.8,16071.38,114240,62288
Bun /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,1,3,12,16,3.74,3.14,39,1
Requests,1560,2331,2991,2991,2366.5,441.32,2990,1560
Throughput,334079,498943,639999,639999,506355.2,94322.59,639860,333840
Bun /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,1,3,12,16,3.73,3.15,39,1
Requests,1566,2355,2983,2983,2369.2,442.95,2983,1566
Throughput,2244607,3375103,4276223,4276223,3394662.4,634723.16,4274639,2244078
Bun /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,3,7,22,29,8.45,5.12,63,1
Requests,787,1091,1379,1379,1119.3,183.31,1379,787
Throughput,177151,245503,310527,310527,251872,41270.82,310275,177075
Deno /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,2,7,15,18,7.26,3.31,39,1
Requests,1014,1281,1483,1483,1290.6,133.86,1483,1014
Throughput,240383,303615,351487,351487,305824,31703.4,351471,240318
Deno /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,3,7,15,18,7.27,3.33,38,1
Requests,1029,1263,1477,1477,1289.91,129.44,1477,1029
Throughput,1499135,1839103,2152447,2152447,1878323.2,188529.25,2150512,1498224
Deno /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,3,7,15,18,7.3,3.28,37,1
Requests,1026,1270,1469,1469,1283.3,125.9,1469,1026
Throughput,254463,315135,364543,364543,318265.6,31265.07,364312,254448
